User_name,Location,Rating,Date,Reviews
A Hip Single M.,"Roslindale, MA",1,9/11/19,"Costco Tire: Waste of time experience! Ordered tires (not a cheap set either) on a Friday. Was told they would be sent overnight and if I wanted a Saturday appointment. I said I would set an appointment up for Sunday in case the tires came late in the day. Showed up on Sunday afternoon only to be told my tires hadn't arrived. The guy didn't seem to understand why I would have set an appointment up (because your associate wanted me to come on Saturday!). Was told I would get a call by 4pm Monday with an update. No call. I called 3x between 4-8 with no answer. Drove over there only to find out that my tires were there but too late to install. I set up an appointment for the next day. I get my tires installed. I then notice my TPMS is out of wack. They must have never reset it. I went back and they act like nothing is wrong and to take it to the dealership. Horrible experience and quite a bit of cash put down. I should have cancelled my order on Sunday when the tires weren't in and took my business else where. Every employee I spoke too was very rude, all the while I kept my cool even when I had every right not to. Horrible customer service. ZERO STARS"
Asta S.,"Boston, MA",3,11/24/19,"I believed that Costco was a good place to work and that they value their employees. However, when I went to purchase a membership, I was given such a hard sell about upgrading to their executive program that I am rethinking all that I know about the company and what they make their employees do. For the exec membership to pay off, you need to spend $230 a month or about $3,000 a year, which is a lot. In addition, they tried to get my credit card on file so it could auto-renew, but I refused. Consumer beware."
Christine B.,"Brighton, Boston, MA",5,8/2/18,"Costco, you are a magical place!!  This is your place to get things in BULK for insanely CHEAP prices. $3.99 for 2 POUNDS of strawberries? $2.99 for a pack of 40 water bottles? That's it, game over-- this place already won my heart. You can literally find everything you need (and things you didn't know you needed):  snacks, meat and seafood, frozen foods, home necessities, clothes, books,  medications, appliances--you name it. This can be your one-stop place for everything you need to survive. And the best part is you save time and money because buying everything in large quantity will last you a while before you need another trip to the store.Also another equally great part of Costco is their food court!! You can't come here and NOT stop by to get something off the menu. They sell pizza, churros, salads, sausages, hotdogs, non-fat yogurt shakes, and so much more. And in true Costco fashion, everything is super cheap. I got a hotdog and a refillable drink all for just $1.50.  I bet you can't name anything better that you can get for that price. Perfect for a pre-or post-shopping snack/meal!"
Marie K.,"New York, NY",5,8/31/18,"Costco is not just a store but rather a way of life. Kirkland brand products are of high quality, especially considering the comparison to other big box stores' branding.Food is amazing, and there are always free samples. Staff are all helpful.Fair prices for all and everything by the dozen!"
BostonBestEats X.,"Boston, MA",4,11/22/17,"COSTCO LIQUOR SHOP IN WALTHAMOne of the few Costco-owned liquor shops in MA.  Ownership of multiple liquor stores is limited by MA law, so some Costco's have outside vendors who actually own the liquor shops at Costco, and so the prices are not as good.This is one of the exceptions that Costco actually owns, and supposedly their 2nd biggest shop in sales in the US.  And Costco is the biggest wine buyer in the US.  So you can usually count on as much as ~25% off of the very best price in MA for a particular wine/beer/liquor.  In fact, I've saved as much as 50% off when I was lucky to get the last bottles of something after they marked it down to make room for new stock (look in the bottom of the bins!).Unfortunately, the wine buyer who was there before 2010 or so left and his replacement(s) doesn't seem to be very serious about getting in anything unusual.  You used to be able to get some interesting stuff here, like newly released classified Bordeaux, or a case of the legendary 1997 Sam Adams Triple Bock.  There was even an email list alerting his best customers to limited availability items.  Not anymore.I had to laugh today when they appeared to think they were selling the 99 point Wine Spectator 2014 Wine of the Year (usually priced at $220) for $16.99.  It was actually a lesser 90 point bottling, but still a good price for what it was (pic).So if you are looking for big name, big production items at great prices, this a good place to come.  But it doesn't replace Gordon's, Marty's, ect. if you are serious about wine."
App T.,"Boston, MA",5,9/16/18,"Acai Bowl - Costco Food CourtGreat news for us Costco has recently introduced an ""Acai Bowl"" which looks very tempting. It is like a snack or dessert which can go well anytime especially during summer. Very delicious and a combination of blueberries, strawberries with acai makes it delightful and crunchy granola works very well in this combination. It tastes like ice-cream.  I loved it. Price of this bowl is $5."
Sharon A.,"Boston, MA",1,3/11/19,"My review is for customer relations only. Had to do the shopping as my husband who typically does all this kind of heavy lifting shopping is just out of the hospital on crutches for the next 2 months.They would NOT be humane and let me buy. I spent more than an hour filling a cart for our family only to be stone heart denied.Now I know it's ""against policy"" but man, yow! Humanity, kindness, something slightly out of the box?!?"
P L.,"Boston, MA",2,7/29/19,I want to get a membership and have a question. No one will answer the phone! I was so desperate to speak with someone that I actually called the pharmacy and she transferred me and still no one answered! Why do they have a phone number if no one picks up? Arrggghhhh.
Jeremy S.,"Watertown, MA",5,8/8/18,It's a Costco: five stars.The alcohol section was new for me and I was really impressed with it. The prices on the kirkland signature branded products were amazing and the quality was indistinguishable from items costing 50% more.
璐妍,"Central LA, Los Angeles, CA",4,8/6/18,"A must-go supermarket in the USA.We headed for each Costco in almost every cities we travelled.All the groceries,appliances,food,supplies you are looking to you can find them here.After a shopping for meals,I found the fruit smoothie really delicious,with several kinds of berries.although a little bit sour,I really appreciate it."
Olivia W.,"Cambridge, MA",5,3/5/19,"i went there on sunday and they had such good samples. My family, at home, sometimes has sausage and it's so good and on sunday they had sausage that tasted just like it. My favorate cheese is parmesan and they had a cheese sample and it tasted just like that cheese. On that day we got lamb chops and we ate them yesterday and they were great!! Even if i  am not getting that product, they have a huge product that i just like to stare and stare at it. The huge product i am talking about is the mini playground in the middle of the store. Finally, the food in there medium sized food court is really good. i love there hot dogs. There hot dogs juicy and good. That's why i think Costco is a great place to go!!!!!!!!!!!!!!!!!!!!!!!!!!"
Melissa L.,"Boston, MA",5,9/17/17,"Great place to stack up on bundles of produce and food for a much cheaper price. One of my favorite things about shopping here is that I know once I buy what I need I won't have to return for another 3 weeks because of the amount it brings. For example buying a pack of Dove soap cost me 14.99$ for 16 bars. Or buying a jug of Palmolive dish soap for 7.99$ that brings 90 fl oz in comparison to the small one you can buy at your local market that only brings 10 fl oz. Also keep in mind these are not set prices, they have discounts all the time on popular items including food and if you happen to find a coupon you can also use that too!My favorite of them all has to be buying a 40 pack of water for only 2.99$ where else can you find an amazing deal like that? The list for discounts goes on and on...Note: they give free samples for food on the weekends and there is plenty! Also you'll find the best churros (which are also big) for 1$The membership is worth it, in the end you will be saving much more than you typically spend! I'm a regular here and always come back finding great deals."
Ray B.,"San Francisco, CA",3,11/21/18,Used to buy tons of things there and had an executive card.Stopped for a bit as they were changing products and I found BJs a bit more expensive but better quality.I went back to Costco about a year ago and then they started ONLY taking Visa or Cash so I'm done it's not my CC of choice and I find the store near me in Waltham to be too full of very inconsiderate customers. It's a hassle I don't need
Jeff B.,"Newton, MA",4,9/8/18,"You have to kind of take the good with the bad when it comes to this Costco. The benefits of being a member at Costco are pretty well known on a national scale. If there are products that you use regularly, and on a bulk level, you'll save a good amount of money buying it from a club like Costco. In Massachusetts your two choices are basically Costco or BJ's. In my case I find BJ's to be more conveniently located and easier to get in and out of, but it seems like 90% of the time Costco's prices are either identical or better than BJ's.Costco has a great selection of meat, tender & flavorful rotisserie chickens and great med prices. On the downside, it seems like it's really long past time that they opened up more locations in Massachusetts. The Waltham store is always packed and the crazy parking lot is the introduction greeting you to that reality. There's been a time or two where the checkout lines are so long that if I can buy it elsewhere or wait another day or two I'll just avoid shopping there all together that day.I was teetering between giving them a three or a four star rating. I'm going with a four only because I have to issue the brunt of my rating on the basis of how this store performs individually and the products that they're selling. The fact that they don't get a five is more a knock on corporate for not expanding their presence in Massachusetts and fostering an unnecessarily overcrowded and occasionally unpleasant shopping experience."
Amanda C.,"Westborough, MA",1,2/3/19,Rude employees. Just had an argument with a cashier named Peng. I have been a member for years and this will be my last year. Will never renew my membership after this year after the exchange I just had with this very rude employee. Not worth the $60 membership.
Roger M.,"Waltham, MA",5,2/17/15,"What is there to say, Costco is great and I go there all of the time.  It is significantly better than BJs in terms of quality.  (Although BJs has better variety and a deli counter.)  The biggest problem is that you run in for a small item and land up spending $100 because there is always something else you need.  (Is that their secret?)It would be easy to discuss the pre-packaged items.  That is simply comparing brands and prices.  So, I will skip that topic.I buy a lot of fresh seafood and fruit at this store.  That is not what I would have expected from a warehouse club because I am a stickler for quality.  But, I think their business model makes things fresh.  This is what I believe:At a supermarket chain, the food comes in to a central warehouse.  It is unloaded and sorted.  (Perhaps a day goes by.)  It then gets loaded on a delivery truck to a specific store.  It then gets unloaded, sorted and put on shelves.  (Another day.)At this Costco, I have seen fruit delivered.  The palettes come off the truck and are delivered directly to the store floor.  Therefore, it is two days fresher and with less bruises.  You just need to eat a lot of berries.The seafood is also amazingly fresh.  As a New Englander, you would think that I would insist on the local market.  But, I am beginning to think that the fist is fresher here.  There is just a more limited variety and you need to buy a huge portion.  Still, if you don't mind cooking salmon one day and then having it for lunch on the next two days, it is really good.I also use their other services.  For example, the prescription eye glasses are less than half the price of my previous optometrist and the quality is excellent.Just go."
Sarina D.,"Smithfield, RI",1,12/17/18,Actually the fucking dumbest fucking store because you can't buy a gift card for someone who ALWAYS shops here because you don't have a costco membership.... SO if you do have a membership you can only buy a gift card for either yourself or someone else who has one. Let me just wrap my head around this idiotic business strategy
Deirdre C.,"Danville, NH",4,9/2/14,"We are longtime Costco members, since the 90s. Did I just age myself?? I wish there were more in NH, the only one being in Nashua. This one in Waltham is a pretty typical Costco, except for the underground parking garage, which is also where the tire installation services are. Building seems bigger than most from the outside, probably because it has two levels of what I presume is office space above the warehouse. Inside, no surprises.Little hectic as it was near lunchtime so everyone was clustered around the assorted sample carts that had set up a short time earlier. I was getting hungry too and got a tray of turkey and Swiss rollers (cut up wraps). Quite tasty though a bit too much mayo for my liking. Minor detail. I like getting the two dozen pack of organic eggs for $6.99. Better price per dozen than at the grocery store by far.  The Kirkland Signature cashew clusters (snacks aisle) are very good. And they have a nice assortment of dog beds in different sizes and styles. We always buy the KS toilet paper and paper towels. Have compared to self branded products at BJs and Sam's Club; Costco always beats them in price and quality. I remember seeing a documentary about a Costco lab lady who does tensile strength and loft testing on the tp! Can I get that job?? ;)The KS button down dress shirts are very good quality. They come out with new colors and patterns frequently. Thankfully now they're displayed in small cut away boxes, by size, making it much easier to find what you're looking for than when they were piled on tables. Though most of the other clothes are still done that way.They could seriously consider putting in more cart return corrals in the distant parts of the main parking lot. Bit of a hike on a very hot day to walk halfway back to the warehouse. I refuse to be one of  those who leaves their cart out in the open and let it roll into someone's car. Pet peeve... All in all I won't mind stopping into this one again when I'm in the area."
Kristine V.,"Cambridge, MA",1,7/6/17,"Great store but one of the women in membership services is so aggressive she actually turns customers away rather than bringing them in. Shocking, Costco.  And a shame.  She was working the afternoon of July 6.  I wish I had asked her name so that I could post it here.  A liability rather than an asset!!!!"
Emily B.,"Auburndale, MA",2,7/20/17,"The people at the membership register are overly aggressive. I get they need to upsell, but the woman did everything except sign my name on the line to upgrade me to the premium membership (which I don't need at all. I'm a single person that only goes to the store here and there for certain items). Other than that, inventory is well stocked and most associates are friendly. There was one cashier that yelled at me for cutting a guy in line when in reality he said I could go in front of him since I only had 2 things. I love Costco in general so I'll keep coming here, but maybe their staff needs some more training."
Daniel G.,"Burlington, MA",1,11/18/18,"Incredibly rude employees.  For the money my family spends here, its disappointing that lack of customer service makes an already stressful shopping experience unbearable.  I returned my groceries and clothing.  I'll spend my hard earned $500 elsewhere."
Manfred S.,"Medford, MA",4,10/21/16,"I am a Costco fan. This location is old and cramped compared to the one in Everett where I usually go. The great advantage at the Waltham location is that they carry my favorite cheese: Petite Basque. This cheese seems to sell close to Lincoln and Weston but not in Everett. In the last 10 years, Everett carried the cheese once."
Navya C.,"Fremont, CA",5,4/26/15,They have the best and polite customer service i have ever seen.I had once even returned an open yoghurt box which had gone badI go there every weekend and Costco never disappoints me. The prices on the whole sale are very reasonable . This is the trip i always look forward to since i get to spend some quality time with my busy boyfriend.
Mary H.,"Allston/Brighton, Boston, MA",5,9/3/17,Edit: this location renovated their hot food section. It looks pretty much the same but their menu now includes not just the vanilla yogurt but also the chocolate and swirl yogurts!!! *squealing in glee* Had to get a creamy swirl yogurt. I love their chicken bakes too!!!! No where can beat the prices they have.
Deborah C.,"Arlington, MA",1,6/2/15,"Costco used to be a great place, but everything I have bought this year I have ended up returning because the product was inferior. Jeans, a piece of jewelry, and an HP printer,  which are normally good. Then I looked it up on Amazon before opening and it was one of their worst lemons. Not only that, the people on the Amazon reviews all bought it from Costco.They used to have that fresh shellfish kiosk which was a big hit then they took it away in favor of all prepackaged stuff. Their meats have definitely gone down a grade, and the fruit is the only bargain left. The prepackaged food is JUNK and I know my stuff in that department.Even my new eyeglass lenses do not seem right-not renewing anymore Costco!"
Julie C.,"Newton, MA",1,12/30/17,"My family and I have always been long time Costco members and we always get our tiers there, however today when we went to the Costco's in Waltham they were all out of the tire I needed for my car so they told us the Costco's in Avon had them and we headed there. Long story short we went to the Avon location and asked for the four tiers to be replaced along with the valves. The gentleman helping us even showed us a diagram of the valves they would be replacing. We come back an hour and a half later when they called us and my father-in-law who was with me at the time, looked the car over and noticed that the valves were not replaced. He was in the automotive business for years and spotted this right away. He went back in and asked for a refund, they then told him they would put in aftermarket valves and he told them no. He asked for a refund and to talk to the manager. He did that and told them that they should be ashamed of themselves because most people would not have caught that mistake and that they are essentially pulling stuff over their customers and lying. They told us that it was an honest mistake but we it did not sit right with us so we decided to post this review and tell everyone that we were not happy with the service and to also be aware of them lying to you about what they really are doing when they replaced you tiers. Won't be going back there."
Monica M.,"Woburn, MA",1,4/30/15,"This place is terrible and more expensive than BJ's wholesale. I was just there and needed a few products they advertise as available and I couldn't find them anywhere! One employee was very nice and tried to help me, but when he radioed others for help, they told him ""they couldn't help at the moment"" and they ""guessed"" they just didn't have the products. To just tell me that they didn't that've them. The lady in the bakery couldn't answer if they carried gluten-free rolls, the guy up front said that he would help me if I got him THEIR product numbers. I mean, really? He was willing to help only, and only IF, I did half the work for him!!! He finally looked things up for me because I got him the product numbers... That's the beauty of smart phones as smart people, meaning, me ;-)I couldn't find over half the things they advertise they have! They were all more expensive than advertised also.Oh, and I guess they don't take credit?!?!?! What, banks/CC companies don't trust them?? Or their customers??? WTF kind of crap is that?!?! How do they not take VISA??? It's just so bizarre in there.The customers are bizarre too. Sorry, the people just seems too weird, lolThe guy in the cash register was VERY rude when I told him I was trying to use credit. I prefer credit as it's easier to fix if my CC gets hacked vs debit. Oh, and I should say that I was using my office's Costco membership card. I WOULD NEVER pay this company to shop at such pathetic stores!Can you tell I'm disgusted at this place? GOOD, because I am!"
Erika K.,"Waltham, MA",2,2/2/17,I've been a member here for a few years.  This place is always ridiculously crowded on weekends. They never have all the register lines open even with huge lines.  I was looking for batteries for my moms hearing aid and trying to see if someone could help me but was completely ignored by the people working that department who were pretending not to see me by being so busy with what they were doing. I ended up calling and woman in the hearing aid department was pretty rude.  Not very friendly staff.
Thida P.,"Boston, MA",3,2/26/16,"I used to come here quite often years ago when I lived in the area. My parents come here all the time. They were here last weekend and bought a few things, and when they got home they realized they forgot an item in the cart. So they hurried back to the store to see if the item was in the cart, and unfortunately it wasn't. So they went to the customer service counter, and customer service wasn't able to help them so they were sent to the managers. Manager station is located right by the liquers. Supervisors were not able to help and told them to come back the next day to see if anyone had turn it in. Well the next day was Monday and they didn't have time to go back until Friday. So since I was in town visiting my parents, I decided to go with my mom to Costco. Once again she went to the customer service desk and explained her story to the older man working. For almost two minutes he completely ignored us. He started taping together two bottles of vitamin as we were waiting there. Finally he reaches down to get the lost and found book. Asked my mom again what day she forgot the item. He looked it up and saw nothing. He then sent us to the managers again... There were a few people standing by the manager's area and my mom once again explained her story, but she didn't have her receipt with her to prove she actually bought the item.  At first it seemed like they didn't want to help but the woman, I guess a supervisor, said to another supervisor (a guy) to look up my mom's card, and the guy said he didn''t know how. Maybe he was new?  The woman supervisor had to show the guy how to look up people's receipt. They looked it up and they do see that the item was  purchased. The woman told my mom they will replace it. So thank you for that. It just sucked that they couldn't help my parents the first time around and my mom had to go back another day."
Harry H.,"Yarmouth, ME",2,6/12/16,"Telephone call on Saturday morning:""Hi, do you have ice cream cakes?""The answer:""Call back in 10 minutes, I don't speak English"""
D Y.,"Boston, MA",3,3/18/17,"This review is for this specific Waltham Costco--we go to several and overall love Costco as a business.This is an unusual Costco.  First, there is underground parking--probably because this Costco has less land compared to other Costcos with more ground-level parking.  Although this may be nice for some people who would prefer to avoid rain & snow, you generally end up walking longer than at most Costcos because of the long ramp.  I also try to avoid parking in the lower level part which is immediately to your left when you turn in because you either need to carry your purchased items down the stairs or steer your shopping cart the long way around.There are lots of samples on weekends, but as other people have said, this one is particularly crowded, and lines at checkout tend to be longer than average for other Costcos.  The congestion makes it tedious to both walk past these long lines when you're shopping and when you're trying to get to a certain checkout lane.  This Costco doesn't have self-checkout, which makes it less convenient than some other Costcos if you prefer to scan your own items.  This Costco's layout is atypical--for example, chips are normally in the back right of the other Costcos in the area, but here they're in the back left near dairy/frozen.  This one doesn't have some items that are found at most other Costcos in the area, but they conversely have many unique items, especially Asian items.Unfortunately this is the only Costco where I've had multiple unpleasant experiences with a specific employee--Louise--who works at returns/membership and tends to have short colored hair."
Matt F.,"Wayland, MA",2,10/30/16,"After years of running the store you think they learn that they always have L and XL and XXL leftover. They always run out of S and M quickly. Then they have the giant sizes left for months. Hello!?  This isn't Texas. This is New England. When will they order the right amount of the right sizes. And some things we just want a reasonable amount of because not everyone here has a family of eight or run a business. Especially perishables like cheese. Can't you package them in normal quantities?  I mean coffee, toilet paper, or dry goods is fine but the other stuff just make a smaller package. But despite my low rating which is out of frustration I remain a loyal customer and have been for years."
J K.,"Henderson, NV",5,9/29/17,This is specifically for their tire center.  I had such great service from Joe.  I seriously have never had this kind of service!!  I highly recommend the tire center.  The employees here are amazing!!
Mag B.,"Scituate, MA",3,1/6/17,"Their cafe always seems overwhelmed.  Granted, you don't necessarily go to Costco for the cafe, but it's frustrating to walk in assuming you can get something before you leave... and then finding the cafe so slow that you walk out hungry.Might be better for you anyway, I guess."
Patricia G.,"Arlington, VA",4,7/31/17,"Stopped in during my visit with relatives in Waltham and was glad to see the variety of cheeses that this location offered.  Coming from the D.C. area that has one of the largest Costco's in the country, I was afraid that this location was not going to offer a lot of choice, but happy to say that while the store was certainly much smaller in size the variety was still there.  Like all Costco's the lines are always long and cashier service is less than friendly."
David K.,"Lexington, MA",4,7/27/16,Pretty normal Cosco - probably on the smaller side but has cosco food and most services
Natasha H.,"Melrose, MA",5,6/11/13,"When I started working near this Costco, I thought it would be a convenient place to get giant TP and laundry detergent. However, Costco has far exceeded my expectations and it is definitely worth the membership. The prices are great, but so is the quality and selection of their products. Yes, I get the giant tubs of Tide and Cascade and mayo- sadly, they do not carry the Cottonelle that is required for our pampered behinds - but also far more fresh food than I have expected. Highlights: - Empire kosher chicken, both whole and in pieces - the best tasting chicken out there and way cheaper than anywhere else- Pete's Major Dickenson blend whole bean coffee- Seaweed salad, Sabra's hummus- Same raspberries, blueberries etc.. that you get at a regular supermarket but at like a third the price. The bakery looks pretty good but I avoid that. They are also great for buying seasonal items for the garden for example.Lastly, the best thing about this location is the liquor section. The selection is limited compared to a typical booze store, but they have some great wines for awesome prices. The only pain is that they do not take credit cards except for their own."
Jessica K.,"Lincoln, MA",4,11/14/13,"I am a mother of three, so I rely on Costco for quite a few things. The milk is much cheaper than at the grocery store and we are drinking about a gallon a day.The meats/fish and produce are a great addition along with the staples. I don't do all my shopping there, but I am there at least once a week.I recommend if you want to avoid the crazy lines and weekends, to try a Monday night or possibly any week night. I can be in and out of there in 20 min!The staff is usually really helpful and fast. If you don't have your receipt, they will refund you in the form of a gift card. They are not really difficult when it comes to returns."
Leo F.,"Arlington, MA",4,6/24/14,"We visit this Costco fairly often and have yet to be disappointed.  I've even tried their cafe once (hotdog combo, BBQ sandwich, salad).  The products are diverse and are sometimes updated.  It's quite easy to spend more than a $100 on a single trip here.We've always parked in the parking garage under the store as the above ground parking lot always looked crowded.  I'm sometimes intimidated by the long lines for checkout but have since discovered that the lines can move pretty quickly such that 15 minutes later, there are no lines.  As for the crowds within the store, I've seen much worst at another Costco."
Matthew L.,"Boston, MA",4,1/26/10,"This location is quite larger then most Costco's and even has an under the building garage. The problem is the location is not ideal and is a bit difficult to get to seeing Winter street has had major construction going on for a while. The parking here is also a bit strange since the parking lot is narrow and pretty far away from the entrance which is tucked in the corner of the building. The inside is like any other Costco, but seems to have more of a selection and a lot more cashiers to check you out. They were the only Costco that had a liquor store but now it seems like every location has added this feature."
Allison M.,"Waltham, MA",4,1/18/16,"My parents are members of another branch and I used to go with them as a kid / they'd send me for stuff in high school. I signed up for the $55 a year membership and it's so worth it. I mostly go for the stuff I'd need in bulk, like toilet paper, paper towels, coffee and miscellaneous stuff. Great bakery and prepared food sections, especially if you're hosting a party. This location can be a little nuts on the weekend, but it's spacious and well organized. Love Costco!"
Pam S.,"Upland, CA",5,9/7/10,"Went here this past Saturday I had to order Deli trays for my Moms funeral. =/ They were very understanding and moved HEAVEN & EARTH to get my order in (my own fault) late on Friday FOR SHAME I am in food & beverage I outta know better. They were so capable and helpful to me the Deli Manager Diane rushed my order... I was coming to pick it up on Saturday by 10:00am.It's not the closest location to Boston but I can say the Assorted Croissant Trays were lovely to behold, the Meat and Cheese Tray were done very nicely as well and the Turkey Wraps (sliced pinwheel style) were quite popular at the repast. The cashiers were friendly and helpful and in light of the fact that I was using my Ex-husband Costco card (hehehehehe) that had expired they didn't give me any hassle at the registar just approved it through at the spot. BTW everything was fresh at this location the breads smelled delicious and so did the cakes. Clean aisles it was quite hard to find on google maps so my suggestion is to get the directions off of their phone line.Respectfully Reviewed"
Juan F.,"Monterey Park, CA",5,7/19/12,"Best Costco I've been to! They have so many free samples every time I come (whether weekday or weekend)!! Yes, sometimes I come for samples only to replace a meal. I know some Costcos only have tons of samples on weekends... but not this one! The store is really clean and organized as well. Food is cheap which is what I come here for. Almost always get the Rotisserie Chicken. Its about $5 for 4 lbs so definitely a bargain. I get my contact lenses and glasses here too. People working at the optometry are really nice and friendly."
joanna b.,"Wellesley, MA",5,12/16/14,"Yesterday was my second time shopping at Costco after being a loyal BJs customer for over ten years. After my wonderful experience at Costco, I know I will always do my shopping there! When I realized I'd dropped my coupon somewhere in the store while shopping with my kids, Chris at the check out counter helped me search for it, and made sure the discount was applied, even when we were unable to locate it. His warm nature changed what could've been a stressful situation for a new customer shopping with kids into a wonderful experience that shows Costo's commitment to its customers. I love that when Chris helped us out to the car after and I thanked him profusely, he just said with a smile, ""No problem, it's all part of the Costco experience."" Im glad that Costco hires people like Chris to make our shopping experience above and beyond our expectations."
Jessica S.,"Framingham, MA",2,1/30/13,"By far the WORST Costco I've ever been to. As my boyfriend accurately said, they try to cram 100 pounds of [excrement] into a 20 pound bag.In essence: the place is crowded and disorganized. Most Costco parking lots are chock full of mayhem and bumper-carts, but the Waltham Costco's lot is far too small, making it even more chaotic than others.When we walked in the front doors, we looked for a cart just like we do when we go to the Dedham Costco... to discover they were outside in the rain. Very inconvenient, as every Costco I've been a member of (in NY, California, Ohio and now MA) has the carts indoors.Inside, it just feels crowded - moreso than any Costco I've been to. The layout of the store is a little different than others, probably because of the space it's in. We got in and got out as quickly as possible, declaring that from now on we will go back to driving twice as long to get to the Dedham Costco."
Joe P.,"Boston, MA",5,7/4/12,"Love this place.  Saw a TV special saying that they only mark up their merchandise 15% - much less than ever other stores.  Great prices but just as important, they sell high quality products!  I can honestly say I am happy with everything I buy their.  The 50"" TV, gifts for friends and relatives.  Oh yeah, easy to return something.  Items was defective, refund no questions asked.  LOVE THE PLACE!!!To Sarah W. they absolutely DO TAKE CREDIT CARDS!!  To Helene - they would have taken it back.  You believe a repair man?No I don't work at Costco-LOL."
Joe J.,"Winchendon, MA",3,9/17/15,"The prices are very decent and quality is always on par. The somewhat speedy check out lines make this a good location. The place is always packed any time of the day. The only thing negative thing I can say about this place is what the F is with the way people park in the parking lot?! It's amazing how people park on top of each other, crooked and not even in the lines."
