Facility ID,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
20024,AK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
20026,AK,Acute Care Hospitals,Government - Federal,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available
21301,AK,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
21302,AK,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
21304,AK,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21305,AK,Critical Access Hospitals,Government - Local,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
21306,AK,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
21307,AK,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
21308,AK,Critical Access Hospitals,Tribal,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
21309,AK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21310,AK,Critical Access Hospitals,Tribal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
21311,AK,Critical Access Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
21312,AK,Critical Access Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
21313,AK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Not Available,Same as the national average
21314,AK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
24001,AK,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
24002,AK,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30002,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
30006,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
30007,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
30010,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
30011,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
30012,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
30013,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
30014,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
30016,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average
30022,AZ,Acute Care Hospitals,Government - Local,Yes,3,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
30023,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
30024,AZ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
30030,AZ,Acute Care Hospitals,Physician,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available
30036,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
30037,AZ,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Not Available
30038,AZ,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average
30043,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average
30055,AZ,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
30061,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
30062,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
30064,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
30065,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
30068,AZ,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Not Available,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
30069,AZ,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average
30071,AZ,Acute Care Hospitals,Government - Federal,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Below the national average,Not Available,Not Available
30073,AZ,Acute Care Hospitals,Voluntary non-profit - Other,No,4,Not Available,Above the national average,Above the national average,Below the national average,Same as the national average,Not Available,Not Available
30074,AZ,Acute Care Hospitals,Tribal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30077,AZ,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30078,AZ,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
30083,AZ,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Not Available
30084,AZ,Acute Care Hospitals,Government - Federal,Yes,4,Not Available,Not Available,Above the national average,Same as the national average,Below the national average,Not Available,Not Available
30085,AZ,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
30087,AZ,Acute Care Hospitals,Proprietary,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
30088,AZ,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
30089,AZ,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
30092,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
30093,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
30094,AZ,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
30101,AZ,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
30103,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
30105,AZ,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Not Available,Not Available,Not Available
30107,AZ,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
30108,AZ,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
30110,AZ,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
30111,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
30112,AZ,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
30113,AZ,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30114,AZ,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
30115,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
30117,AZ,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
30119,AZ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
30121,AZ,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
30122,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Not Available
30123,AZ,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average
30130,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
30131,AZ,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
30134,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
30136,AZ,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Above the national average
30137,AZ,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available
30138,AZ,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30139,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
