	username	rating	content
20	Ty Ueda	5	"Been here for 4 weeks now in total, (3 weeks a few months ago and just finishing another. Great place. Nicest docs and nurses. My parents insist on eating the cafeteria food because it’s great.

James on Ellison 14 draws blood the best. Real champ. Someone in HR/PR/Marketing go give him a pat on the back or buy him a coffee."
21	justin mcguire	5	This place is the best in the world!!!! They took very good care of my friend. He was in Rhode island hospital and they sent him home and we went here and they saved his life if you're in Rhode island hospital I suggest you go to Massachusetts General!!!!!! you will survive!!!!
22	Dan Wells	5	This is the undisputed best hospital in the entire world. Anyone that knows anything knows that.
23	MATTHEW P RANUCCI	4	Patience is a requirement and expectation of ALL patients being seen. Allow at minimum 4 hours. Excellent care, nurse gave me shot that was excruciatingly painful! After that she seemed friendly.
24	Julia Burrell	1	Dealing with their medical records department is an absolute nightmare.
25	RUSTY D. HENSON	1	"As a patient in their Veterans ICP, I was looking forward to what was claimed to be the best treatment for PTS. I was excited for this opportunity. When I arrived, I was met with hostility from the program nurse and was traumatized to the point that I was unable to benefit from the program. It was disappointing, to say the least and set my condition back immensely. I hope this was not the case for all veterans but it has created a deeply seeded traumatic event in which I have yet to recover. I have used skills they attempted to teach while there but when applied to that setting, I have been rejected and been unable to communicate with them.  After three official requests (on their forms), I’ve still been unable to receive my records.

Some providers were top notch but the ones who do not act professionally greatly exacerbate the conditions of patients.

They say thing improve with time. A few months ago, I was willing to go back and give them another try. They refused because of my constructive criticism. They were content with whatever the final disposition of me was - no matter what.  Instead of offering to help and possibly improve their program, they left this vet hanging out to dry. 9/14/20 - their action have continued to cause undue terror. I’m grateful for the thousands who have read this.

Now, while thoughts of war still haunt me daily, it is the mistreatment is patients (me) that trigger so much anger and resentment just to hear or see their name... I need the treatment from MassGen.  I think it’s about time to stop the fight. I’m tired. I’ve got nothing left. Since I’ve left there, my tanks have ran dry.  I do not have the strength to go on. Thank you MassGen for helping to ensure there’s nothing left.

I literally cry when I read this review that I wrote. This is something I needed so bad and need even more today. I need the program so bad. I’m grasping for straws only to collect a handful of air. I am so scared. I’m afraid that instead of a straw, I may, instead, wind up with fingers around a rope... :-("
26	Sue Copen	1	So after a brutal 16 hour day of mother’s surgery  and finding out she was at a high risk for stroke,  I left and discovered my ticket missing for parking garage. I explained At a different parking garage ( mine had no cashier so late at night) that I  had gotten there at 8:00 am . Instead of letting me pay and give me a ticket we had to go over to our garage and get registration and drivers license and run BACK over to be able to pay and leave with a ticket. Meanwhile  hospital police parked right in front of us bothering us... really???  You mean to tell me all this was NECESSARY????? Come on mass gen.... let’s leave the m off your name to make it more appropriate considering the treatment.
27	BLAZER KUN	1	Is this the type of people you hire?
28	Erin Daigle	5	I am from Maine and was referred to Mass General for surgery. I was impressed with the knowledge of the surgeons, received excellent care while in the hospital and overall in their care.
29	Jeff Algers	5	Absolutely total respect for this hospital. The dedication and love from the personnel is palpable, commendable. I hope others will join in promoting their excellent work.
30	Mommy Zora: Ana McShan, We Rise	1	"Cant even direct anyone in need of psychiatric help. Just ignore you, lie, and put you on hold for forever. How dare you call yourself one of the top hospitals. Just because you have ""in the process of learning"" experimenting and testing their knowledge out on people. That dont mean nothing other than all of your patients are Guinea pigs to the system just like you are, try it with someone else."
31	Nathalie Polanco	5	The staff is amazing. I had surgery it was so nice. Everything came out great.
32	Aaron Noll	5	This is the best hospital I have ever experienced. The doctors work in teams and are extremely experienced. I fully believe they are among the best in the nation. In addition to all this, I find the MGH staff more genuinely caring and empathetic than any other hospital I know of!
33	Maryellen Shorey	1	Horrible experience there with my daughter.  We lost her due to a lack of understanding and treatment.
34	khai nguyen	1	My friend arm was dislocated and he is in severe pain. We had to call an ambulance to get him here. First, they put us outside for over an hour, until my friend pain was too much He couldn’t take it anymore. They put us in a room so no one can see him suffer. It’s been 2 hours, and no one even take a look at my friend dislocated arm. And we are stuck in this room in the corner. My friend is still in pain, without medication and care.
35	the monkey king	1	"My grandma died in their care. I still dont know what the ""complications"" were for an otherwise simply surgery. Its hard not to feel spite. Im still mourning."
36	Murat Atli	1	"Terrible , only one word , culture of the system is nothing services is crazy
Just terrible"
37	Hannah A	4	"Everyone was very kind and genuine there (ER) - really made me feel like they cared and that allowed a sense of relief.  The hospital even called me the next day to find out how I was doing, which I greatly appreciate and definitely do not receive from my local hospital, even after being there twice.

The wait is going to be long in any area, but that's to be expected as it's an incredibly busy and major hospital. There also aren't many nurses available to answer your questions and when they are they must do it in a hurry, but again that is understandable with how busy they are. So, while less of a wait time and more time with my assigned doctor and some nurses would be nice, I completely understand how difficult it can be to achieve this. The wait and examination rooms, while nicer than many you'll find in hospitals, could still use a little improvement though.

Overall, it was a good visit for a bad situation and I'm very thankful to all, especially the doctor and his assistant who saw me. Definitely worth the hour drive it takes me to get there rather than going to my local hospital.  It's my hospital of choice when I have one.

Also as a side-note, parking is quite affordable - especially the discount they give to patients!

Another side note - cafeteria is great! It's clean with a lot of room and the food is delicious! Though could use a little more allergy-friendly foods and could probably lower their prices a tad."
38	Ana Maria Stuart	5	I had a medical emergency while traveling to Boston. The hospital itself was good, like any other hospital in a big city in the United States, but the people there were extraordinary!! Friday 2am and everybody was smiling and making me feel much better. I am very grateful for everything they did to me, but specially for being so thoughtful and attentive.
39	Naveen Kumar	5	"Hi I am Naveen. I am from India. My Mother who was traveling on June 8th to visit my brother in Boston from Hyderabad(India) she had sudden cardiac arrest at Boston airport. She was joined to CICU at Massachusetts General Hospital in Boston. here for 8 weeks now in total, Great place.This is the best hospital I have ever experienced. The doctors work in teams and are extremely experienced.

Countless thanks to the entire doctor’s and all the staff who are working day and night for keeping us in the pink of health. Wishing them heartiest gratitude for their greatest contribution."
40	Tara Marks	5	Great medical care. Great staff
41	Andrea Duncan	5	hospital I have ever experienced. The doctors work in teams and are extremely experienced
42	Timothy Wanamaker	5	Can't say enough about the great care I received there. The team of Drs saved my life and limbs due to a very aggressive tumor Chondroblastoma. Thanks to the Drs and Nurses whom took care of me..,
43	simon wu	1	I went to MGH walk-in before and it was great but the second time I went in I waited a long time and once the doctor told me what my condition was she didn't listen to my question or concerns and just kick me out to pay the bill.
44	Ms. Delgado	4	"This hospital is very busy as there are so many types of specialists here. They are very professional and caring.
Use Valet Parking otherwise your going to keep going around for a parking spot in the garage, but make sure the Doctor's office gives you a validation or it's going to be pricey."
45	Julie G	1	The hospital staff deliberately and knowingly deprived me of drinking water for a number of days. My eyes, mouth, entire body were parched and suffering. How did they not know I was dangerously dehydrated? Afterward, I was very traumatized over what had happened. The hospital admin continued to attempt to silence me over it. Because I have decided to continue to speak out about hospital abuse, there has been retaliation and it hasn't been legal. I have consulted attorneys and also went to the state legislature.
46	Paul Sullivan	2	Delivery was great other than that jammed 2 in a room husbands are told to fend for themselves.
47	nunya stockson	1	Disgusting staff.
48	LaNorski	4	"This hospital does a great deal of good, and 99 percent of the time I get quality care. I have been there for studies,tests,  as a patient, I have had surgery there, you name it. There has been only one time I have not been pleased with MGH, and I have never seen a repeat of it. It was in recovery, and the nursing staff was somewhat rude and not well informed on meds. I couldn't leave the recovery because you are suppose to be able to go the bathroom, when they had to run around to give me my daily meds that I take regularly, they wanted me to take my Ritalin for ADHD... I informed the nurse I didn't need to take it and after having surgery shouldn't take a stimulant, her reply was, ""Just take it""""  Then a group in interns, I think, came to check on me...said I'd be going home. So I called my family to come get me, and they drove in. After waiting for hours one of these snot nosed inters said I couldn't go home because I hadn't gone the bathroom. So, they finally use a catheter and I was able to start going to the bathroom. At 11 PM, they sent me home with a medical ride, and the case worker put in the notes they had to send me home that way because , "" my family didn't show up""! That made me so mad, instead admitting the right hand didn't know what the left was doing, they blamed my family!??!? These young interns need to get their head straight, the nurses need to know their medications AND LISTEN TO THE PATIENTS! That was my only bad experience with MGH, the other times, there were no problems or issues. Perhaps the staff was just off their game that night, or perhaps I just got a bad team. I don't know, I would not right off MGH for one bad experience but never forget, they are there to make money!"
49	Major Insight	5	Great care, top-notch..
50	TitletownAKA Boston	1	I have to give them a one star.  When I was going through a divorce, I brought my daughter there to talk with someone just to make sure that she was handling it well.  The first thing they wanted to do was to put her on medications.  It's a good thing that I'm a nurse and know better.  I left the office with the script in my hand and threw it out.  I never went back.  All doctors want to do is medicate you.
51	Marat Mekhtiyev	1	"Went in for a torn muscle in leg. Unprofessional staff, inappropriate comments; laughing, ""living the dream"" and worst when I asked if someone could wheel me to down the hall for  drink I get this ""if you can get up to go to the bathroom you can walk to the vending machine and get your own drink"" after she saw me struggle to get to the bathroom. Waited 3 hours, doctor came in confirmed it was a torn muscle said will do a  cat-scan. She also said her colleague will come in to take a look also. Waited 30 minutes. Colleague looked like she hasn't slept in 24 hours and wanted me out. very short and told me their specialist isn't here so no point of a CAT scan and to come back on in 3 days when they will be there. Mind you I was in extreme pain, they gave me a Tylenol.... In a panic I asked if they could at least ultrasound it she did so for 15 seconds and said yes its torn along with internal bleeding. SO now sitting and waiting in pain for ""specialist"". They gave me a leg boot which hurt more then it helped along with crutches. Wonderful hospital.... Never Again.

Only positive was the nurse offering to wheel me up to my car and the security guard who saw me struggle getting inside and wheeled me in.

4 hours and less than 5 minutes of service, do yourself a favor and see an urgent clinic. I promised you will get more help much faster."
52	Gerald Barrett	5	Having been shipped to other hospitals my wife and I requested a transfer to MGH.  The difference in atmosphere was so much better at MGH.  I had open heart surgery.  They explained everything and made sure I understood before proceeding.  The staff could not have been better.  I am speaking about the entire staff.  I cannot understand why anyone would go anyplace else .  My results have been great.  I believe they hold themselves to a higher standard and it shows.
53	Patson Lim	5	The oldest and best hospital in the area very skillful and highly knowledgeable doctors who understand procedure and what has to be done very well.  Great Payment options
54	Meghan Nyberg	5	All hospitals have their fair share of problems, but this is by far the very BEST hospital in the world. The Dr.'s, Fellows and Nurses are kind, generous with their time and knowledge. They saved my Mother's life.
55	GOLE R	5	Amazing staff at this hospital, my mother had a bad work accident where her left index finger was pretty much cut off, she went to baystate hospital at first since and they said they would have to amputate the finger unless she wanted to go across the state to Mass General which she chose to do. Probably the best decision she has ever made, her doctor was Dr. Kyle Eberlin who is a very skilled orthopedic/reconstructive surgeon. He was able to completely reattach her finger and now (2 years later) she has 90% movement back in the finger and feeling. The nurses there are also the best nurses i have ever come across in my life.
56	Frank Gimlet	5	Mass general hospital is one of the best hospitals in the word,had to go there for some unusual pain when I got to the emergency room I was checked out immediately  I felt they were really caring and very professional they did a lot of tests the doctor who checked me out was very thorough in his test and all the questions he asked to make sure he didn't miss anything that could be a problem after the hospital location is very easy to get to.
57	Ocie Eico	1	"Worst hospital ever! I’m actually here now been here for 2 hours in a corner inside of pediatrics.. 20 doctors and 10 nurses passed by me and no one helped.. mind you I’m in the ER so yes there’s a wait. But when you start to
Skip me and put me in a corner that’s when it start to get annoyed. I asked the nurse who placed us “in the corner” when was the doctor coming by. She seemed surprised and said they didn’t come by yet. And I said. Nope. Now here it is 3 hours later my daughter still coughing and the waiting room is getting full and guess what still no doctor. This is a horrible horrible hospital please don’t send your kids. Take the trip to children’s."
58	Brian Holman	1	Is this one of yours
59	Abdu Emsalem	1	"Very disappointing!
Suffered severe abdominal pain, ambulance took me to Mass general hospital. Despite telling them upfront I have billiary colic there was no good exam by the ER doctor nor they reach the diagnosis they did ct of my abdomen and concluded that I have gastroenteritis!! Pain was intense. Being a doctor my self asked the doctor not to give me narcotic rather to Give me Toradol as it is first line for biliary colic.
They discharged me suffered 4 days without relief went to another hospital closer home. Found that I have sever gall bladder inflammation required immediate surgery indeed took the surgery next morning. Surgeon told me it was big and intensely inflamed also was quite challenging surgery.
Missed diagnosis and was overconfident ignoring the fact that I gave them the diagnosis upfront yet not listening !! Overconfidence was clear on nursing and MD staff. Were unpleasant and judgmental
I am very disappointed and surprised for the care I received"
60	Molly H	1	Dr Tello did not treat my family members symptoms or assist in treating concerns that I brought up and that led to his death.  Dr Tello is not trustworthy.  This makes me think that partners does not look into what doctors they are hiring and makes me think twice about going to another doctor in the system.  As a healthcare professional,  partners should be sure the care providers are in the position to treat and prevent diseases in patients with SAFE patient outcomes. I hope no other patient or family has the experience what I did.
61	Jes Santos	1	Worst hospital I’ve ever been too! Starting from the Dr I seen to the over all care I got! I would never go back there don’t care how good they say they are. My experience was so horrible and horrific I’m still paying for the damage they did to me over a year ago. Dr. Forcione is one of the worst Dr’s I seen in my life! What a hack! With Dr’s like him there is no way in the world they are as good as they say,I lived it,they are hacks run while you can!
62	Courtney Snyder	3	"I had a very little luck getting a response to messages left with the answering service. When I did, finally, get through to Dr. Borges office, Valerie was a great help and sympathetic to the frustration I was feeling.

Since sending in my records, Valerie has stayed in touch explaining what I could expect. Dr. Borges was recommended to me by my (BI) Cardiologist-his endorsement was ""Dr. Borges is the go to doctor for other doctors having neurological issues"".

I look forward to hopefully having a consultation with the doctor."
63	K	5	Thanks for taking such great care of my father, MGH! High quality medical care.
64	Shane Tristan Yoder	5	Great hospital, if you ever need to be sent elsewhere, they always send you to the best places. I had pneumonia in 2011 and they took good care of me for the month I was there.
65	Phil L.	5	"Dr.  Carrie Allen Coleman.  Who is my Gynecologist
Did my surgery on May 22, 2017, I am not a fan of hospital or some Dr., but let me say this, you will never find another doctor like her, she is a remarkable person.  She is very patient, easy-going and treat you gently with utmost kindness.

I am really impress with her and will always be thankful to her for the great job and care she alway give to me.

You need a Gynecologist, find her..."
66	Laura	5	All I can say is wow, the physicians in this hospital are truly a blessing. The physicians in the neuropsych department saved my brother's life, He was suffering from a rare and difficult type of OCD to treat, harm OCD... was basically disabled for 6 years... psychologists and long term care centers said they couldn't help him. Finally the only thing to do was surgery, a cingulotomy. It was scary at first to think about but now six months later my brother is a new man, after being at home not able to go to college or work for six years, he started college again, has a job, and is SO HAPPY now that he isn't suffering with horrible obsessive thoughts all the time. He is a completely new person. Thank you for bringing my brother back to us.
67	John A Mo	5	Spent three years volunteering here. All of my experiences with the physicians, staff, and patients back up its reputation as a world-class hospital. MGH is #1!
68	Salem Almehairi	5	This is the best hospital I have ever experienced.
69	Adriana Trajkovski	5	Spoke with Dan in the New Patient Information Dept of Psychiatry. He was extremely knowledgeable, patient and kind. Was in no rush to get me off the phone and genuinely wanted to help. We need more people like Dan.
70	Susan Thornton	5	I travel here from South Carolina to see Dr. Hadlock.  She is a top notch doctor and this facility is one of the best. Well worth the distance that I travel.
71	Da Shu	5	I didn't actually go to MGH, but I have talked with the receptionist of the patient financial department and asked her several questions, she was very friendly and gave me detailed explanation to each of my question, helped me a lot. I'm truly grateful.
72	Peter B	1	"Prescribes anti-depressants like they're candy, lies to you about the side effects and withdrawal, and ignores all other complaints until you wind up in their ER. In the ER they leave you for hours, moving you from waiting room to waiting room with no clear direction for treatment. In the 2 years I've been there I still struggle with my original GI problem (which I had to diagnosed myself and bring to a doctor's attention) but now I have the added pleasure of dealing with Cymbalta withdrawal.

Dr. Joseph Yarze assured me withdrawal symptoms were minimal. Anyone who knows about Cymbalta knows this is not true.

Also, don't bother with Patient Advocacy. They will just try to convince you you're at fault. I trusted you guys and you guys took my money and wiped your hands clean of all responsibility.

I get that working in a hospital setting is a high stress job and I respect the doctors and medical professionals who do this, but just because I don't have an extreme or highly visible condition doesn't mean I'm not suffering and I deserve the treatment I paid for which I believe I never received."
73	Ian Wilson	5	It's a place where you get the best Healthcare in Massachusetts
74	April	5	The emergency room doctors and nurses went well and beyond for my daughter, extremely grateful
75	Mr. Nate	1	My son had a terrible experience there and it's now nearly traumatized for life I would not recommend any of the staff emergency unit or in general anyone there
76	Susan Ferretti	5	Great hospital filled with incredible people.
77	Scott Dalrymple	5	Best medical you could ever need!
78	Vaughn Allen Goodwin	5	This is an amazing place for treatment. They have mastered the art of taking care of a patient well. The place is big. The technology is awesome and the support is warm. I would not go anywhere else for my medical treatment.
79	FD G	5	Nurse Mary P in the ER is by far the best nurse I've ever had in any hospital. I was sitting there in pain, and she'd get me to giggle and for a brief moment I'd forget about the pain. Always smiling, even when I asked a million and one questions. The hospital is clean, very clean. Their technology, and commitment to providing the best care can not be matched at any other hospital. Period.
80	Jose Santos Ferrufino Funes	5	"I am glad to be hiere  all the staff are very awesome.
Tanks all team work."
81	Pat Young	5	My Mom was told she would live six months to a year.  Then, she went to Mass General.  My Mom has fought Cancer with Mass General for eight years now.  The staff at Mass General are dedicated, amazing and caring people.  Thank you so very much for what you do!  I am so grateful we can celebrate Mom's Birthday on 1/2/15!!  Thank you!!
82	Amy Furmanick	5	"Sept 1st 2018, I had an aneurysm and was med flighted from Laconia NH. I had collapsed twice walking out of my bathroom so my 12 year old daughter called 911. Thank God she was still awake at 130 am or I wouldn't be here. Laconia emts treated me terribly and thought I overdosed..telling me multiple times that I need to ""stand up"" as I was crying on my kitchen floor curled up in a ball holding my head.
My whole stay at mass general (all 17 days) was great. I was brought ice cream at 1 am when I couldnt sleep, since I was bed ridden one nurse ""Grace"" even washed my hair while I was laying in the bed, tried to get the knots out of my hair. She was incredible and such a sweet caring girl.
I was moved up from the ICU to the floor above after 15 days, I was told I'd have more freedom without being hooked up to all the machines, I thought that meant I could go get a soda. I was stopped at the elevators and told I couldn't go off the floor. The woman at the desk who stopped me went out of her way and brought a soda to my room. This hospital and their staff are incredible. They saved my life as most people die before reaching the hospital. I'm incredibly grateful to be alive and the hospital staff made my hospital stay more comfortable. I can't thank you all enough for all you have done for me.
Only complaint is one of the social workers. Not the one with the short curly hair..but the other one. She was so rude to my dad."
83	Jayna Marie Arsenault The Certifiable One	5	I love MGH it's my main hospital. My PCP is in the Chelsea Massachusetts General Hospital. I had surgery here in MGHB and they did a really amazing job, it was my appendix, that was leaking but the emergency room in Brockton thought it was just a stomach bug so they gave me antibiotics. The antibiotics calcified the leaking part of my appendix that created a mass that was connected to my right phillopian tube, right colon, some intestines, & the appendix. All came out at once at the MGHB I got the Royal treatment was awesome I didn't want to go home. The MGH is the only hospital that I trust. My family all goes there, my sister in-law works there, my neice & nephew were born there & my Mom had her 2 brain surgeries there plus a lumpectomy there. It's an amazing place with awesome people who do unbelievable things. I highly recommend this hospital if you need one in the area. It's the best I've ever gone to. Fantastic great job thanks for everything MGH. XoJaynaoX
84	Teri Nicks	5	I love this place because I work here
85	Michelle Muhammad	5	"I recently had surgery at MGH and it was by far my most memorable and pleasant hospital stay/experience ever. The staff is friendly and very helpful. The facility was clean throughout. It never ""smelled like a hospital""--for which, I'm grateful. My surgeon was very knowledgeable and his residents all had a positive bedside manner, which is often lacking among young doctors. I was an out-of-state patient and so far, the trip up to Boston has been worth every effort."
86	Scott Doner	5	"All my experiences with Mass General, from my pre-op visits, my surgery to my post-op visits have been pleasant and professional.  When I showed up for blood-work and radiologic imaging, I never had to wait any more than 5 minutes.  My stay on the surgical recovery floor was a ""good "" experience, being well attended to, handled with care and respect.  My discharge occurred in the evening after normal discharge hours. The volunteer attendant that wheeled me down to the front doors decided that my wife would not be able to wheelchair me over to the Wyndham Hotel, so he attended me all the way over to the hotel lobby on a chilly evening, without even a jacket on!  I can't thank him enough, and he refused any tip!"
87	Paula G	5	Excellence at it's finest.
88	Ovais Khan	1	Service at this hospital has been getting worst and worst every time I come here.  I came in because I felt pain in the back of my neck and head along with chest pain.  Two days into my stay at the hospital I am told I have severe blockage in my right artery and I am serious and will need to stay for further test and possible treatment.  The irony is that it’s been more than 36hrs I was told this info my the floor doctor and the nurse and that the cardiology team member will be coming to speak to me yet here I am still waiting almost approaching two days since my test results came with no further testing scheduled or put on any medication to help treat my condition.  Laying in bed watching the time go by.  Well I have decided to take my chances and given them till 4pm which is three hours away and if nobody from cardiology comes by or no further course of action is taken I am walking out of here.  God forbid if something happens to me I just want you guys to know if you are planing on coming or this hospital please look into other options first since this is really really disappointing as it seems just a place of business with no morals and ethics.  I am at MGH observation unit patient record 4127158 incase somebody has any decency to address the matter at the “Great institution of MGH Boston hospital”
89	Mathew MacCord	3	Only come here if you need surgery, or IV fluids they are not willing to find out underlying causes if your too complicated they turn you away.
90	Gregg V.	5	There's a reason they call this Man's Greatest Hospital.
91	Christian Sorgi	5	Overall good experience. They were compassionate however they were so busy it felt like they didn't have time to answer all of my questions. The rooms were clean but the wait was long.
92	E	1	Visited Oral and maxillofacial surgery.  Been here twice, waiting for an hour each time (1 hr 20 min this time) the doctors saw me for 5 min and were basically quick to recommend surgery and quick to dismiss when I asked for alternatives. Very disappointed, what a waste of work hours.
93	Anita Mohan	5	After a colonoscopy without anesthesia I cannot recommend  or praise Dr. Casey and her amazing team at the Endoscopy Unit at MGH enough. They were supportive, friendly and kind - not to mention highly professional and efficient. It is at stressful times like this that you really appreciate the empathetic side of a great medical team. Thank you for making what is a pretty tough procedure into a good experience.
94	Carla Ciulla	5	My PCP is through MGH, I've been going here for years, it's a great hospital. The staff is always friendly and attentive. Wether it was myself or family there, nothing but good to say about MGH. Even the other locations they have are good, ie., Revere, Chelsea..etc.
95	Dr. Serge The Nutrition Scientist	5	We spent almost a year on the pediatric floor when my son was getting a variety of treatments. Everyone was very understanding and kind to us. Thank you!
96	Chris Ferry	5	"MGH had been a great hospital to me. It is one of the leading hospitals in the country.

The staff are all amazing and make sure that every patient is treated well.

The campus covers a few blocks, and there are enough signs to point you in the right direction. Then they have specific desks set up in the buildings just to answer questions and direct you to wherever you need to go.

There are cafes inside, along with lots of options right in the area like a CVS, Whole Foods and other restaurants.

There are a lot of quality hospitals in Boston and MGH always ranks in the top places."
97	Edmond Taverdyan	1	My mother died at this hospital in 2002. The Dr who operated on her was named Dr John Wayne.....i rememeber bcuz she said it was like the actor. When she was in the ICU i asked some nurse an innocent question and she barked at me rudely while my mother lay on her death bed......it hurts to think it was THAT nurse who was taking care of my mom. I wont bring race into it....but i personally have ZERO respect for this hospital or its staff. I gave one star......TILL THIS DAY. We NEVER got a word from the Dr as to what happened to her.....what went wrong....anything? She went into surgery......came out....called me......went into a coma and died. Only god knows what happened. TERRIBLE hospital and staff if u ask me.
98	Rene Villalta	1	Worse wait i ever been threw went in many times early and it takes more then 2hours to get seen and when you do its another 1hr wait and all they advice you is simple. things and done even help like were is all the help the workers do i just walk away cuz of the wait and help myself get better. Doctors and nurse's dont know how to help anymore its all about the money and not helping people like it should be
99	Timothy Steele	1	"Went to the “medical walk in” with my son.  Over a 2 hour wait, rude, no information.  Pathetic and the whole staff should be ashamed of themselves.

It isn’t difficult to update a patient, parent or loved one.  I will never be back here nor my family, I’ll be changing doctors as well.  This is just beyond pathetic"
100	Rick H	5	The best hospital in the country.  Compassionate care, and a high degree of professionalism. As well as the latest in treatment technology.
101	Lindsay Weiss	3	"I love this hospital but the weekend parking supervisor at the fruit street lot was completely patronizing and rude to me.  He told me he could help me with my parking dilemma but ""wouldn't"".  He was a man on a power trip.  I love MGH but can't imagine they would employ such a thoughtless man to run a big part of their business."
102	Jerome I. Johnson	1	The worst hospital to go to for emergency services. I had to walk out after waiting 3 hrs and ask the nurse why is taking so long they got me sitting on a chair for that long with stomach problems. She didn't know where the doctor was. I said probably taking a nap some where. 3hr waiting with no word from nobody smh. Time to change hospital
103	E L	5	Great hospital with a lot of world class doctors. Next to Mass Eye and Ear. Great location, exceptional care.
104	emi Shell	5	Dr. Clinton was my OB for my somewhat complicated twin pregnancy this winter. Near the end of my pregnancy it became clear that my 2nd twin was going to be breech at delivery. While many OBs would have considered this an indication for c-section, Dr. Clinton very confidently explained that if I could deliver my first twin vaginally he could do a breech extraction for my second twin. I had never heard of this and thought maybe it was a simple routine procedure however it turns out not all OBs are comfortable with this procedure even at MGH. On the night of my induction there were not going to be any OBs on call who were comfortable doing the extraction and I faced the possibility that I would have to have both a vaginal delivery and a c-section or simply opt for a c-section. But Dr. Clinton took it upon himself to make a plan to cover my delivery as an on-call provider. When the time came, I gave birth to my first twin vaginally and then Dr. Clinton and is team went to quick work performing a complicated series of maneuvers which safely extracted by second twin from my womb! I cannot express how grateful I am for this outcome and for Dr. Clinton's dedicated to providing the very best care to me and my family!
105	Anne Lorigan	5	"Simply the best!!  They have saved my life literally, 4 times. A massive GI bleed and I was brought to Massachusetts General Hospital.
Later I got scars on my liver due to the bleed. The scar tissue caused liver cancer twice. I was treated and put on ""the list"" for a liver transplant.
On the forth call it was the perfect liver for me. That was four years ago.
The first time that I went to MGH I was17, on my own. My hand had gone through a window.
I took the subway to the hospital. They treated me so well that I applied and got a secretary position. This was in 1979.
I could talk all day about my second home.
MGH has been rated number 1 hospital in the USA and additionally rated number 1 hospital to work in 👍🏽♥️♥️"
106	Celia LaBarbera	4	I have been coming here for as long as I can remember and there are amazing doctors.
107	Jared Allsopp	1	One of the police touched me inappropriately and hit me in the face after.The groped me and tried taking my pants off.
