,Facility_ID,State,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_overall_rating,Mortality_national_comparison,Safety_of_care_national_comparison,Readmission_national_comparison,Patient_experience,Effectiveness_of_care_national_comparison,Timeliness_of_care_national_comparison,Efficient_use_of_medical_imaging_national_comparison,Rate_of_readmission_after_discharge,Denominator,Readmission_after_discharge_Score,Lower_Estimate,Higher_Estimate,Care_transition,Cleanliness,Communication_about_medicines,Discharge_information,Doctor_communication,Nurse_communication,Quietness,Staff_responsiveness
28,10055,AL,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3188,14.7,13.5,16,3,2,3,3,3,4,4,3
29,10056,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3828,15.1,13.9,16.3,4,2,4,4,4,4,4,4
34,10065,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,562,14.1,12.3,16.1,3,4,4,4,3,4,5,4
37,10078,AL,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,2795,15.3,14.1,16.6,3,1,3,3,3,4,4,3
38,10079,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,972,15.4,13.8,17.2,3,3,3,3,3,4,4,3
39,10083,AL,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,1580,15.7,14.1,17.5,4,4,4,3,3,4,5,4
40,10085,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average,No Different Than the National Rate,2491,15,13.7,16.4,3,3,3,3,3,4,3,3
42,10087,AL,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,752,15.9,14.3,17.5,3,2,4,3,3,3,3,3
43,10089,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,977,15.7,14.1,17.6,4,2,3,3,3,3,4,4
44,10090,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,No Different Than the National Rate,2812,15.2,14,16.5,3,3,3,3,3,3,3,4
46,10092,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,No Different Than the National Rate,5780,15.3,14.3,16.3,2,1,2,2,3,2,4,2
50,10100,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,2598,14.8,13.6,16.1,3,2,3,4,3,4,4,4
53,10103,AL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,2346,15.8,14.5,17.1,3,1,3,3,4,3,4,3
54,10104,AL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,4178,15.7,14.6,16.8,4,2,3,3,4,4,5,3
55,10108,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,663,14.9,13,17,4,4,4,3,4,5,5,5
59,10113,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,4662,16.1,15.1,17.2,3,3,4,4,4,4,3,3
60,10114,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,898,15.8,14.2,17.7,3,2,2,2,4,3,4,2
61,10118,AL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,834,16,14.1,17.8,1,2,2,1,3,2,4,1
64,10126,AL,Acute Care Hospitals,Government - Federal,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,314,17,14.6,19.5,3,3,5,4,4,4,4,5
68,10131,AL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2896,15,13.8,16.3,3,2,2,3,3,3,4,3
70,10139,AL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,2198,16.3,15,17.6,3,2,3,3,3,3,3,3
71,10144,AL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,1866,16.5,15.1,17.9,3,2,3,3,3,3,4,3
73,10149,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1119,15,13.5,16.7,4,3,3,3,3,4,3,3
75,10157,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,No Different Than the National Rate,204,15.2,13,17.9,5,3,3,5,3,4,4,3
76,10158,AL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,486,15.7,13.7,17.9,3,2,4,4,5,4,5,4
77,10164,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,530,15.7,13.6,17.7,3,3,4,3,4,2,4,3
97,20001,AK,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Better Than the National Rate,3382,13.4,12.4,15.1,3,3,3,3,3,4,3,3
98,20006,AK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1088,14.6,13.3,16.1,2,3,2,3,2,3,3,2
99,20008,AK,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,382,15.3,13.5,17.2,4,3,4,4,5,5,4,4
100,20012,AK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,780,14.4,13,16.1,4,4,4,4,3,4,4,4
101,20017,AK,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,2054,14.6,13.5,16.1,4,2,4,4,3,3,3,4
103,20024,AK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,759,16.2,14.5,18,3,2,3,4,3,4,3,4
120,30002,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,3236,15.1,14.2,16,2,3,4,3,3,3,3,3
121,30006,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,5898,15.7,14.8,16.6,2,2,2,3,2,2,1,2
122,30007,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1477,14.6,13.2,16,3,2,2,4,3,4,3,4
123,30010,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1838,15.2,14,16.5,2,3,2,3,2,2,2,3
124,30011,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,3042,15.5,14.5,16.7,3,3,2,3,2,2,2,3
125,30012,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,3622,15.2,14,16.3,2,2,2,3,2,4,2,3
126,30013,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,4208,14.7,13.7,15.7,2,3,2,2,1,2,2,2
127,30014,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2356,14.3,13.2,15.6,3,3,3,3,2,4,3,3
128,30016,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,1059,15.7,14.3,17.2,2,2,4,3,3,3,2,2
130,30023,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,3124,14.6,13.5,15.7,4,2,3,3,3,3,3,3
131,30024,AZ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,3936,15.2,14.3,16.2,3,3,3,3,2,3,3,2
133,30036,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,5385,15,14.1,15.9,3,2,3,3,2,4,2,3
135,30038,AZ,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,No Different Than the National Rate,3821,15.6,14.6,16.7,2,3,2,3,2,3,2,3
136,30043,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,1422,15,13.8,16.4,2,3,2,3,2,3,4,2
137,30055,AZ,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,1629,14.6,13.4,16.1,2,3,2,2,2,3,2,3
138,30061,AZ,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,4209,15.5,14.5,16.5,3,1,2,3,1,2,1,3
139,30062,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1183,14.1,12.7,15.7,3,3,3,3,2,4,2,4
140,30064,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,2443,15.7,14.7,16.8,2,1,3,3,2,2,2,2
141,30065,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,4081,14.8,13.9,15.8,2,1,2,3,1,2,2,2
143,30069,AZ,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,2295,15.5,14.3,16.7,1,1,2,2,2,2,2,2
151,30085,AZ,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,3396,15.7,14.5,16.9,2,2,2,3,3,3,1,3
152,30087,AZ,Acute Care Hospitals,Proprietary,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,6061,15.5,14.6,16.5,3,3,2,2,3,4,3,3
153,30088,AZ,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Better Than the National Rate,3970,13.5,12.6,15.1,2,2,3,2,1,2,2,2
154,30089,AZ,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,2669,14.6,13.5,15.7,2,1,3,3,2,2,2,2
155,30092,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,2759,14.4,13.3,15.7,2,3,2,3,2,3,2,3
156,30093,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,4271,15.4,14.4,16.3,3,1,3,3,1,2,1,2
157,30094,AZ,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3130,16.1,15.1,17.3,2,2,3,3,2,2,2,3
158,30101,AZ,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1312,15.2,13.8,16.6,1,2,2,2,1,2,1,2
159,30103,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Better Than the National Rate,6438,14.6,13.8,15.5,5,4,4,5,4,5,4,5
163,30110,AZ,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1872,15.6,14.4,16.8,2,2,3,2,2,2,1,3
164,30111,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,532,15.4,13.9,17.1,2,1,3,3,2,2,1,2
167,30114,AZ,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2103,16.7,15.4,18,3,3,3,3,3,4,2,4
168,30115,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1538,15.2,14,16.2,2,2,3,3,2,3,3,2
169,30117,AZ,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,445,16.7,15.2,18.3,2,4,3,1,1,3,3,4
170,30119,AZ,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,2891,15.3,14.3,16.3,3,3,3,4,2,3,3,3
171,30121,AZ,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1270,15.8,14.6,17.2,1,1,1,2,2,2,3,2
173,30123,AZ,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average,No Different Than the National Rate,2905,15.7,14.6,16.9,4,3,3,3,3,4,4,4
174,30130,AZ,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,512,15,13.4,16.5,4,3,3,3,3,4,4,3
213,40001,AR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,276,15.6,14,17.3,3,4,2,4,4,4,5,3
214,40002,AR,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,372,15.7,14.2,17.4,3,4,3,1,3,4,5,4
215,40004,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Better Than the National Rate,4148,13.6,12.8,15.1,3,3,3,3,3,3,4,3
216,40007,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Worse Than the National Rate,4728,16.9,15.8,17.8,2,1,2,2,3,2,3,2
217,40010,AR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Better Than the National Rate,2723,14.1,13.2,15.4,4,3,3,3,3,3,3,3
219,40014,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,3224,17.7,16,18.6,3,3,3,3,3,3,4,4
221,40016,AR,Acute Care Hospitals,Government - State,Yes,1,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Worse Than the National Rate,3574,16.9,15.7,17.9,3,2,3,3,3,3,4,3
222,40017,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,895,15.1,13.8,16.5,3,4,2,2,3,3,4,3
225,40020,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,3950,16.9,15.8,17.8,3,2,2,3,4,4,4,3
226,40022,AR,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1911,14.5,13.5,15.7,3,3,2,3,3,3,3,2
227,40026,AR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,3825,16,15.1,16.9,3,2,2,3,3,4,3,3
228,40027,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,3244,16.7,15.6,17.9,3,2,3,4,3,4,4,4
229,40029,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,2370,15.4,14.4,16.5,4,3,3,3,4,4,4,4
230,40036,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3199,15.7,14.8,16.7,3,1,2,2,3,3,3,3
231,40039,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Worse Than the National Rate,948,18.7,16.3,20.1,2,2,2,2,3,3,4,3
232,40041,AR,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1164,15.5,14.4,16.7,2,3,2,3,2,3,1,2
234,40050,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,311,14.4,12.8,16.1,3,1,2,3,4,3,4,5
236,40055,AR,Acute Care Hospitals,Proprietary,Yes,1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,3387,14.7,13.9,15.7,2,2,1,2,2,2,3,2
237,40062,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,No Different Than the National Rate,4092,15.2,14.4,16.1,3,3,3,3,3,3,3,3
240,40071,AR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,2139,18,16,19.1,3,3,3,3,3,3,4,3
244,40078,AR,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,2031,16.6,15.5,17.8,1,2,1,2,1,1,2,1
245,40084,AR,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,1474,15.6,14.4,16.8,2,2,2,3,4,3,4,3
